Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
135982540,Au coeur des solitudes,Lomig,"Lomig, Lomig",,"=""2377318126""","=""9782377318124""",5,4.21,SARBACANE,Hardcover,176,2023,,2025/09/13,2025/09/13,,,read,,,,1,0
35108194,Ornithomaniacs,Daria Schmitt,"Schmitt, Daria",,"=""2203096179""","=""9782203096172""",3,3.35,Casterman,Hardcover,104,2017,2017,2025/09/07,2025/09/07,,,read,,,,1,0
23593886,Notre héros défiguré,Yi Mun-Yol,"Mun-Yol, Yi",,"=""2868695779""","=""9782868695772""",5,3.76,Actes Sud,Paperback,128,1990,1987,2025/09/05,2025/09/05,,,read,,,,1,0
71290583,Sweet Jayne Mansfield: Sweet Jayne,J.M. Dupont,"Dupont, J.M.",,"=""2344017003""","=""9782344017005""",3,3.17,GLENAT,Hardcover,168,2021,,2025/09/05,2025/09/05,,,read,,,,1,0
152266471,La Distinction: Librement inspiré du livre de Pierre Bourdieu,Tiphaine Rivière,"Rivière, Tiphaine",,"=""241308133X""","=""9782413081333""",5,4.36,DELCOURT,Hardcover,296,2023,,2025/08/31,2025/08/31,,,read,,,,1,0
52286748,Géante : Histoire de celle qui parcourut le monde à la recherche de la liberté,Jean-Christophe Deveney,"Deveney, Jean-Christophe",Núria Tamarit,"=""241300016X""","=""9782413000167""",5,4.14,Delcourt,Hardcover,208,2020,2020,2025/08/16,2025/08/04,,,read,,,,1,0
216850381,Nexus,Yuval Noah Harari,"Harari, Yuval Noah",,"=""222649488X""","=""9782226494887""",4,4.17,ALBIN MICHEL,Paperback,576,2024,2024,2025/08/14,2025/08/06,,,read,,,,1,0
220209593,Battre l’extrême droite,Ludivine Bantigny,"Bantigny, Ludivine",,"=""2365124690""","=""9782365124690""",5,4.36,CROQUANT,Paperback,80,2024,,2025/08/06,2025/08/06,,,read,,,,1,0
43602371,L'Ours et le Rossignol,Katherine Arden,"Arden, Katherine",Jacques Collin,"=""2207143937""","=""9782207143933""",4,4.09,Denoël ,Paperback,368,2019,2017,2025/07/21,2025/07/21,,,read,,,,1,0
50018692,Les mains d'Illian (Le Boiseleur #1),Hubert,"Hubert, Hubert",Gaëlle Hersent,"=""2302077784""","=""9782302077782""",4,4.03,Les Éditions Soleil,Hardcover,94,2019,2019,2025/07/20,2025/06/08,,,read,,,,1,0
61826287,L'esprit d'atelier (Le Boiseleur #2),Hubert,"Hubert, Hubert",Gaëlle Hersent,"=""230209848X""","=""9782302098480""",5,4.31,Les Éditions Soleil,Hardcover,118,2022,2022,2025/07/20,2025/06/08,,,read,,,,1,0
59334321,Les grands cerfs,Gaétan Nocq,"Nocq, Gaétan",Claudie Hunzinger,"=""2356741038""","=""9782356741035""",4,3.95,Daniel Maghen,Hardcover,224,2021,,2025/07/14,2025/07/14,,,read,,,,1,0
200864418,La Mare,Erik Kriek,"Kriek, Erik",,"=""293110521X""","=""9782931105214""",3,3.40,ANSPACH,Hardcover,136,2024,2023,2025/07/14,2025/07/14,,,read,,,,1,0
60597810,Survivre aujourd'hui (Donjon Potron-Minet -82),Stéphane Oiry,"Oiry, Stéphane","Lewis Trondheim, Joann Sfar","=""2413016899""","=""9782413016892""",4,3.71,Delcourt,Hardcover,48,2022,2022,2025/07/05,2025/07/05,,,read,,,,1,0
63336455,"Larmes et brouillard (Donjon Zénith, #9)",Boulet,"Boulet, Boulet","Joann Sfar, Lewis Trondheim","=""2413047115""","=""9782413047117""",4,4.24,Delcourt,Hardcover,48,2022,2022,2025/07/05,2025/07/05,,,read,,,,1,0
56062869,"En sa mémoire (Donjon Zénith, 8)",Joann Sfar,"Sfar, Joann","Lewis Trondheim, Boulet","=""2413037667""","=""9782413037668""",4,4.18,Delcourt,Hardcover,48,2020,2020,2025/07/05,2025/07/05,,,read,,,,1,0
50373562,"Hors des remparts (Donjon Zénith, #7)",Joann Sfar,"Sfar, Joann","Lewis Trondheim, Boulet","=""2413016880""","=""9782413016885""",5,4.18,Delcourt,Hardcover,48,2020,2020,2025/07/05,2025/07/05,,,read,,,,1,0
